vid,email,firstname,lastname,createdate,lastmodifieddate,hs_lead_status,lifecyclestage,hs_analytics_source,country,company,jobtitle,num_associated_deals,stripe_customer_id,auth_user_id
100293,user1041@taskflow-demo.io,First41,Last41,2024-03-07T07:22:30Z,2025-05-06T06:35:18Z,CUSTOMER,customer,Linkedin Ads,US,Company 41,CEO,1,cus_8myx444nlz15bc,26781901-6364-4a0f-b687-f5e8f2d9aee6
100299,user1042@taskflow-demo.io,First42,Last42,2024-05-20T14:05:37Z,2024-06-27T14:03:17Z,CHURNED,other,Product Hunt,CA,Company 42,Marketing Manager,1,cus_py6b2knftu2gc5,d5fdf0f1-d51a-4c94-bd09-9808fecfaa4a
100305,user1043@taskflow-demo.io,First43,Last43,2024-09-06T16:05:02Z,2024-10-01T21:19:35Z,CHURNED,other,Product Hunt,NG,Company 43,Software Engineer,1,cus_y6qktc89k8yqk9,18578563-0955-478c-bce4-1a726d6fa0f6
100314,user1044@taskflow-demo.io,First44,Last44,2024-07-08T19:14:36Z,2024-09-25T13:59:31Z,CUSTOMER,customer,Organic Search,US,Company 44,Designer,1,cus_9xjuy0bvr6k2vm,a31cfb2f-8ccf-4ef8-a25a-33b3e2754be3
100320,user1045@taskflow-demo.io,First45,Last45,2024-05-01T23:54:36Z,2024-05-20T05:42:52Z,CUSTOMER,customer,Organic Search,US,Company 45,Freelancer,1,cus_w6xlpu0dk0get8,ec54bcd4-f3d2-4f20-bdd6-5cddbd1710ae
100323,user1046@taskflow-demo.io,First46,Last46,2024-05-13T08:50:40Z,2024-12-08T03:10:15Z,CUSTOMER,customer,Referral,NG,Company 46,Software Engineer,1,cus_30me8f840982n2,e0ab5aa6-b62f-40b8-a999-2809f58cc285
100331,user1047@taskflow-demo.io,First47,Last47,2024-02-27T12:24:02Z,2024-08-21T05:14:04Z,CUSTOMER,customer,Linkedin Ads,US,Company 47,CEO,1,cus_37dia5u6hc36ko,30cf2bd1-54f1-4783-a497-55054e73fe1c
100339,user1048@taskflow-demo.io,First48,Last48,2024-01-16T11:16:29Z,2024-11-19T16:53:23Z,CUSTOMER,customer,Google Ads,GB,Company 48,Software Engineer,1,cus_eqy08p0fodro8b,4b01b2d4-76d4-4aa4-9dec-b278fe32a515
100345,user1049@taskflow-demo.io,First49,Last49,2024-08-15T06:29:46Z,2024-11-28T05:30:35Z,CUSTOMER,customer,Product Hunt,ZA,Company 49,Freelancer,1,cus_t9moge4qxxva2i,e7d463d6-4c20-4b3f-92ac-a8564f7f9997
100353,user1050@taskflow-demo.io,First50,Last50,2024-04-10T04:34:34Z,2025-04-18T05:42:15Z,CHURNED,other,Google Ads,CA,Company 50,Founder,1,cus_lf6a4fejgxaa2i,6034b4d4-1ca5-4474-aa2d-abc29508e107
100361,user1051@taskflow-demo.io,First51,Last51,2024-05-13T04:34:45Z,2025-03-14T07:44:09Z,CUSTOMER,customer,Google Ads,CA,Company 51,Analyst,1,cus_r2sds8b25sq8cr,c1690484-e760-4987-9113-26b2a3beb41a
100369,user1052@taskflow-demo.io,First52,Last52,2024-02-24T08:52:51Z,2024-04-15T08:59:58Z,CHURNED,other,Linkedin Ads,ZA,Company 52,Freelancer,1,cus_fewvznvksp2ex5,a77c14b3-e387-4a54-9b56-8bb39f8c5adc
100372,user1053@taskflow-demo.io,First53,Last53,2024-04-17T03:35:26Z,2025-03-01T10:25:51Z,CUSTOMER,customer,Linkedin Ads,ZA,Company 53,CEO,1,cus_o0llj8yrddp0ne,007e807a-b3ee-4248-883b-a886ebfa96ff
100381,user1054@taskflow-demo.io,First54,Last54,2024-10-12T00:13:18Z,2025-06-17T15:23:56Z,CUSTOMER,customer,Organic Search,US,Company 54,Operations Lead,1,cus_7p6bkldsfr4mue,e0854a27-2cbd-453f-bc49-493d550003d8
100391,user1055@taskflow-demo.io,First55,Last55,2025-02-12T14:17:12Z,2025-05-23T13:19:06Z,CUSTOMER,customer,Linkedin Ads,US,Company 55,Product Manager,1,cus_yuvxybj17mgfxc,7f7f2bc1-ff30-4bea-abf9-54adf4173249
100394,user1056@taskflow-demo.io,First56,Last56,2024-01-15T22:00:38Z,2025-01-17T05:18:17Z,CUSTOMER,customer,Google Ads,GB,Company 56,Founder,1,cus_fll7v5f1bcppvo,7a840a0b-6c75-400b-82a3-c539fb517d9b
100404,user1057@taskflow-demo.io,First57,Last57,2024-02-22T16:58:05Z,2024-12-28T07:57:11Z,CUSTOMER,customer,Google Ads,NG,Company 57,CTO,1,cus_slh9bh811kerpe,8fa60340-4f6a-4b5d-b380-f59019a97945
100412,user1058@taskflow-demo.io,First58,Last58,2024-09-10T11:06:36Z,2025-01-25T12:01:20Z,CUSTOMER,customer,Organic Search,US,Company 58,Founder,1,cus_0pqclpoxko8g8q,3c2a6b98-3637-4952-ac7c-6cf4b01d7ec6
100414,user1059@taskflow-demo.io,First59,Last59,2024-02-10T22:11:59Z,2025-03-15T19:07:02Z,CUSTOMER,customer,Linkedin Ads,NG,Company 59,CEO,1,cus_c50h2cwtg1m8xf,062dfc6d-5043-4d98-93e9-9e2be6b3fb61
100425,user1060@taskflow-demo.io,First60,Last60,2024-04-06T18:12:06Z,2024-08-28T02:06:27Z,CHURNED,other,Google Ads,NG,Company 60,CEO,1,cus_quuy5x9l8lpqw2,596a7fa8-ab55-45a9-a5f7-0ebad3def23e
100432,user1061@taskflow-demo.io,First61,Last61,2024-09-09T07:57:47Z,2025-03-18T05:31:24Z,CUSTOMER,customer,Google Ads,GB,Company 61,CEO,1,cus_kx9dvnu80b6ugv,cc82fffe-7092-447d-ba2a-71ce3c2c1c40
100437,user1062@taskflow-demo.io,First62,Last62,2024-01-26T15:37:51Z,2025-04-07T00:00:29Z,CUSTOMER,customer,Linkedin Ads,DE,Company 62,Operations Lead,1,cus_dxbz9svn7n1ybw,45eb943f-5f00-4c0e-a879-983f20abcb94
100444,user1063@taskflow-demo.io,First63,Last63,2024-02-14T02:54:21Z,2024-10-30T23:16:46Z,CUSTOMER,customer,Organic Search,KE,Company 63,Founder,1,cus_8vfcx7lxxezdux,a7637559-2519-4035-84bd-1c0f1157da81
100453,user1064@taskflow-demo.io,First64,Last64,2024-12-04T02:41:05Z,2025-03-02T09:25:40Z,CUSTOMER,customer,Organic Search,IN,Company 64,Analyst,1,cus_dysal8m1g9fk2s,c9cd8e3d-cc0e-4884-a7e9-7cf40c963940
100457,user1065@taskflow-demo.io,First65,Last65,2025-03-24T06:54:52Z,2025-06-18T09:41:59Z,CUSTOMER,customer,Organic Search,US,Company 65,Product Manager,1,cus_vfgyw6zbnz8v12,ff0024b9-dfbf-453e-93fb-745d2af41459
100467,user1066@taskflow-demo.io,First66,Last66,2024-06-02T14:59:28Z,2025-02-16T16:44:12Z,CHURNED,other,Product Hunt,CA,Company 66,Designer,1,cus_9qkns832ejx5td,19f7e7fc-0633-4f1b-8f70-da67a5069047
100475,user1067@taskflow-demo.io,First67,Last67,2024-05-18T01:22:25Z,2024-05-31T07:57:53Z,CUSTOMER,customer,Google Ads,NG,Company 67,Designer,1,cus_3d6357oonncild,728324e1-e8a9-4a58-a87d-1b5be134590a
100478,user1068@taskflow-demo.io,First68,Last68,2025-02-09T02:00:44Z,2025-04-25T21:05:36Z,CUSTOMER,customer,Google Ads,NG,Company 68,Founder,1,cus_31qw6ahf7vp1ie,5612be77-7e9b-4991-8112-f2678452171c
100488,user1069@taskflow-demo.io,First69,Last69,2025-02-05T18:37:06Z,2025-05-10T02:10:45Z,CUSTOMER,customer,Organic Search,NG,Company 69,Founder,1,cus_twuzkamugysm8t,7456a183-4e68-42d2-92cf-300aac1b35a5
100496,user1070@taskflow-demo.io,First70,Last70,2024-07-13T14:05:56Z,2024-10-25T10:35:23Z,CUSTOMER,customer,Referral,NG,Company 70,CEO,1,cus_0mcixdu1emmx3y,253ceff3-2319-46bb-a051-a3f99b521d31
100500,user1071@taskflow-demo.io,First71,Last71,2024-04-03T12:14:55Z,2024-06-20T03:26:04Z,CUSTOMER,customer,Referral,NG,Company 71,Marketing Manager,1,cus_kbhb7s9tj1gm25,d8775e3b-8f57-423c-9149-7fca8cfb65ce
100510,user1072@taskflow-demo.io,First72,Last72,2025-02-07T09:55:37Z,2025-04-26T00:08:02Z,CUSTOMER,customer,Linkedin Ads,ZA,Company 72,Founder,1,cus_n9rr7s20cv3tlc,6da4ded4-e593-40d1-947a-b058ec912797
100516,user1073@taskflow-demo.io,First73,Last73,2024-08-13T06:27:38Z,2024-12-01T16:26:55Z,CUSTOMER,customer,Organic Search,GB,Company 73,Marketing Manager,1,cus_b5m9j98cwn2y8f,280d69e6-d8b2-4359-b870-c3682aa30b59
100522,user1074@taskflow-demo.io,First74,Last74,2024-08-07T11:51:06Z,2024-12-12T02:28:28Z,CUSTOMER,customer,Google Ads,NG,Company 74,CTO,1,cus_nuvy8n1utoxie0,4420029c-98ac-444c-9ba4-2120017a6d9e
100526,user1075@taskflow-demo.io,First75,Last75,2025-04-12T17:09:12Z,2025-06-13T19:25:21Z,CUSTOMER,customer,Organic Search,NG,Company 75,Product Manager,1,cus_9k6re4q6qdy4lm,c4bbf0ee-8682-497b-83f8-f4226d806187
100535,user1076@taskflow-demo.io,First76,Last76,2024-05-23T10:04:50Z,2024-09-09T09:02:22Z,CUSTOMER,customer,Referral,ZA,Company 76,Marketing Manager,1,cus_w2sehe2atn2twd,92ed1a9a-9870-4f1e-b072-31d43ac50600
100540,user1077@taskflow-demo.io,First77,Last77,2024-12-31T14:12:20Z,2025-05-11T16:24:09Z,CUSTOMER,customer,Organic Search,GB,Company 77,Analyst,1,cus_c9xqym52xg8p6b,3a1f2b87-7ae1-4a22-8092-ec54cda2ee92
100552,user1078@taskflow-demo.io,First78,Last78,2024-06-03T07:00:49Z,2024-10-06T19:12:26Z,CUSTOMER,customer,Google Ads,GH,Company 78,Founder,1,cus_764jwtektsg7fx,ace72e09-e54f-4867-842f-0eaf02bc83c8
100557,user1079@taskflow-demo.io,First79,Last79,2024-06-21T11:42:51Z,2024-07-17T23:36:10Z,CHURNED,other,Referral,US,Company 79,Freelancer,1,cus_81jhuwb6txki3o,1d367865-a456-4d24-82be-3058dd0315d0
100564,user1080@taskflow-demo.io,First80,Last80,2024-01-31T02:55:50Z,2024-09-10T19:34:59Z,CUSTOMER,customer,Google Ads,GB,Company 80,Founder,1,cus_f5l9mo1sdieqfb,4fe6c0d1-f0e7-4cb5-9787-23e33a216ed2
100571,user1081@taskflow-demo.io,First81,Last81,2024-07-27T13:24:43Z,2025-03-26T09:06:46Z,CUSTOMER,customer,Google Ads,ZA,Company 81,Software Engineer,1,cus_ul1rsrla8s8hmb,1be6b9d7-41c9-4d2f-a70d-903cc531acca
100580,user1082@taskflow-demo.io,First82,Last82,2025-03-02T20:11:24Z,2025-06-27T14:10:35Z,CUSTOMER,customer,Organic Search,GB,Company 82,CEO,1,cus_p501nouhtcs1k9,b1ee4131-79c8-4cf8-9e4d-d4c6c106620c
100583,user1083@taskflow-demo.io,First83,Last83,2024-03-05T08:58:54Z,2025-02-11T20:40:07Z,CUSTOMER,customer,Product Hunt,KE,Company 83,Software Engineer,1,cus_71hssbelrqvslw,e929f4e0-bf69-4638-b350-50d92187fdfc
100593,user1084@taskflow-demo.io,First84,Last84,2024-11-06T12:37:28Z,2024-11-18T11:02:10Z,CUSTOMER,customer,Organic Search,GH,Company 84,Analyst,1,cus_tzk3ny9v20yar8,a33a55fd-9e5a-422a-92b8-b06a1cea1dfd
100601,user1085@taskflow-demo.io,First85,Last85,2025-01-01T10:08:27Z,2025-04-16T23:29:10Z,CUSTOMER,customer,Google Ads,GB,Company 85,CTO,1,cus_1n3iuzgppohswq,8de864eb-fae2-49e5-a6a3-0f68296cd964
100604,user1086@taskflow-demo.io,First86,Last86,2024-12-23T05:48:16Z,2025-03-23T19:44:01Z,CUSTOMER,customer,Google Ads,NG,Company 86,Designer,1,cus_slg6mm1zxyvgiu,c682fd25-2104-4dd7-bbb9-d1d94de53690
100610,user1087@taskflow-demo.io,First87,Last87,2024-05-30T06:54:55Z,2024-08-04T19:09:42Z,CUSTOMER,customer,Referral,US,Company 87,Founder,1,cus_ru7zkut6om1fb8,d6ba0b13-1e90-4386-8365-06c53352660b
100618,user1088@taskflow-demo.io,First88,Last88,2024-08-09T18:36:04Z,2024-09-21T00:02:49Z,CUSTOMER,customer,Organic Search,CA,Company 88,Designer,1,cus_jujd0ib6iidlry,8df4122d-f01b-4a32-be67-44a99402f5c2
100625,user1089@taskflow-demo.io,First89,Last89,2024-10-02T19:21:13Z,2024-11-15T20:46:33Z,CUSTOMER,customer,Product Hunt,NG,Company 89,Marketing Manager,1,cus_rx1kkc1xi04b7p,899f3301-1012-4f00-b6a9-ed48d83cf442
100632,user1090@taskflow-demo.io,First90,Last90,2024-01-13T11:09:28Z,2024-02-14T02:20:17Z,CUSTOMER,customer,Product Hunt,KE,Company 90,Analyst,1,cus_875aud9k9tr74q,11ec1245-5aaa-44af-8aa1-17b88994502c
100640,user1091@taskflow-demo.io,First91,Last91,2024-06-16T05:49:36Z,2024-07-16T08:52:18Z,CHURNED,other,Google Ads,GB,Company 91,Analyst,1,cus_2u1g463sdygfli,c2c2d2f0-6690-4940-897a-d5686d41a4fc
100649,user1092@taskflow-demo.io,First92,Last92,2024-08-12T00:13:23Z,2025-02-10T05:07:13Z,CUSTOMER,customer,Referral,IN,Company 92,CEO,1,cus_axycelos6zle6k,9796f456-325e-44e9-a0b0-7d53e6ba2476
100656,user1093@taskflow-demo.io,First93,Last93,2024-03-03T12:37:22Z,2024-09-29T17:11:27Z,CUSTOMER,customer,Linkedin Ads,GB,Company 93,Designer,1,cus_z61231yv2stn7e,badcf06b-7c3b-454c-a7b4-c4d8f5f69b63
100659,user1094@taskflow-demo.io,First94,Last94,2024-04-06T18:59:55Z,2024-11-18T18:58:59Z,CUSTOMER,customer,Organic Search,NG,Company 94,Founder,1,cus_ehuds3qsqcq30o,608c8c77-b5bf-46ac-ac4c-b5a079fc28dc
100669,user1095@taskflow-demo.io,First95,Last95,2024-10-23T21:24:49Z,2025-06-09T13:31:26Z,CUSTOMER,customer,Google Ads,GB,Company 95,Designer,1,cus_c69qkgex08n6q7,fcb28c0a-025a-4f3e-9dd9-95a2d9ba6b36
100674,user1096@taskflow-demo.io,First96,Last96,2024-12-13T00:10:35Z,2025-02-15T18:19:50Z,CUSTOMER,customer,Product Hunt,ZA,Company 96,Software Engineer,1,cus_e9oe9419qzpniq,baff0e8e-b04a-4b1b-bab8-eccb3f644fa0
100680,user1097@taskflow-demo.io,First97,Last97,2025-04-21T08:12:08Z,2025-05-11T16:09:44Z,CUSTOMER,customer,Referral,CA,Company 97,Freelancer,1,cus_w76icvqy5ibpt1,b6805c6e-23a9-4c79-87e5-9d15d5b7b18c
100687,user1098@taskflow-demo.io,First98,Last98,2024-05-23T09:27:24Z,2024-11-20T21:55:15Z,CUSTOMER,customer,Google Ads,ZA,Company 98,Freelancer,1,cus_13i59sojuv0gyu,12f93db1-cee7-409f-af8b-c0fd7e89db3c
100696,user1099@taskflow-demo.io,First99,Last99,2025-04-26T12:53:28Z,2025-06-25T13:02:11Z,CUSTOMER,customer,Organic Search,KE,Company 99,Freelancer,1,cus_okgtii4fqcootn,ca9e1285-e8ff-45a0-88b7-1aa7f49c5f4d
100702,user1100@taskflow-demo.io,First100,Last100,2024-11-20T00:10:16Z,2025-05-18T14:49:42Z,CUSTOMER,customer,Google Ads,GB,Company 100,Analyst,1,cus_3bnvbc2vyhh6k6,726437c2-ba82-4a46-a3a0-ea623b9d0c40
100710,user1101@taskflow-demo.io,First101,Last101,2025-01-14T07:49:12Z,2025-04-16T02:41:04Z,CUSTOMER,customer,Google Ads,BR,Company 101,CTO,1,cus_zoilkqxlm5q201,d62c38c5-ea95-4be8-911b-4505674b53dc
100720,user1102@taskflow-demo.io,First102,Last102,2024-07-08T10:27:05Z,2025-04-08T02:53:04Z,CUSTOMER,customer,Google Ads,NG,Company 102,Operations Lead,1,cus_atvzkhiuit7m1r,f1e8404b-ef40-45c5-a05b-962140869124
100722,user1103@taskflow-demo.io,First103,Last103,2024-09-05T23:22:19Z,2024-12-09T13:09:59Z,CHURNED,other,Linkedin Ads,US,Company 103,CTO,1,cus_r7txcb48y1o4iz,3087dcbe-81a4-4aca-a513-6cec2f9a99fe
100729,user1104@taskflow-demo.io,First104,Last104,2024-08-20T12:42:53Z,2025-04-16T15:42:08Z,CUSTOMER,customer,Linkedin Ads,US,Company 104,Operations Lead,1,cus_rratatj9a3y36d,bed0ff42-9df3-41b5-a7a9-13c7f028451f
100741,user1105@taskflow-demo.io,First105,Last105,2024-04-26T16:56:34Z,2024-10-30T11:06:31Z,CHURNED,other,Google Ads,GB,Company 105,CTO,1,cus_c8qizk3c9xbonr,00ba9c06-8a1e-4ad7-a0d8-36beab957377
100744,user1106@taskflow-demo.io,First106,Last106,2024-03-25T22:09:52Z,2024-07-03T02:24:53Z,CUSTOMER,customer,Google Ads,DE,Company 106,CEO,1,cus_9967i6yuj7yktx,c2697055-06ec-4e52-b985-9a098d0c894c
